dma1_id,chan1_id,sales1_id,all_id,a,b,bdgt_id,dma1_name,chan1_name,sales1_name,all_name,clv,cpp,curvegroup_id,curvegroup_name,sp
1,1,1,1,27.77948364,5.47E-05,1_1,New York,TV Cable,Bundle,overall,4995,1,1,weekly,86991.37209
1,10,1,1,71.58959428,3.37E-05,1_10,New York,Online Display - Acquisition - Mobile,Bundle,overall,4995,0.003069785,1,weekly,19244.53496
1,11,1,1,39.58439561,2.19E-05,1_11,New York,Hispanic - DM,Bundle,overall,4995,1,1,weekly,42954.348
1,12,1,1,272.7194076,2.33E-06,1_12,New York,TV Spot,Bundle,overall,4995,1,1,weekly,642325.14
1,13,1,1,29.84136076,2.17E-05,1_13,New York,Radio,Bundle,overall,4995,474.2321311,1,weekly,89206.78333
1,14,1,1,15.42433513,5.18E-05,1_14,New York,Hispanic - Display,Bundle,overall,4995,1,1,weekly,22583.54615
1,15,1,1,10.53629944,0.000229766,1_15,New York,Asian,Bundle,overall,4995,1,1,weekly,34164.4451
1,16,1,1,13.88944114,0.000480448,1_16,New York,OOH,Bundle,overall,4995,1,1,weekly,34848.91221
1,17,1,1,3.687307173,0.001269969,1_17,New York,Hispanic - Shared Mail,Bundle,overall,4995,1,1,weekly,16491.03467
1,18,1,1,70.37872161,2.97E-05,1_18,New York,Hispanic - Radio,Bundle,overall,4995,1,1,weekly,43834.38727
1,19,1,1,24.93988352,0.00013643,1_19,New York,Hispanic - DRTV,Bundle,overall,4995,1,1,weekly,130830.5105
1,2,1,1,125.605592,1.16E-05,1_2,New York,Online Display - Awareness - Display,Bundle,overall,4995,0.005822839,1,weekly,50282.32331
1,20,1,1,7.661302857,1.86E-05,1_20,New York,Hispanic - TV,Bundle,overall,4995,1,1,weekly,92318.184
1,3,1,1,4.000637999,0.000870801,1_3,New York,Online Display - Awareness - Mobile,Bundle,overall,4995,0.003883074,1,weekly,4402.86791
1,4,1,1,80.59535837,4.57E-05,1_4,New York,Online Display - Awareness - OLV,Bundle,overall,4995,0.019392811,1,weekly,47809.64585
1,5,1,1,96.7317247,8.34E-06,1_5,New York,DRTV,Bundle,overall,4995,1499.716012,1,weekly,118846.87
1,6,1,1,328.6299164,2.00E-05,1_6,New York,Direct Mail,Bundle,overall,4995,0.379648343,1,weekly,315331.5541
1,7,1,1,16.51092524,1.85E-05,1_7,New York,Newspaper,Bundle,overall,4995,0.051804927,1,weekly,41127.32533
1,8,1,1,286.9938342,0.000168378,1_8,New York,Shared Mail,Bundle,overall,4995,0.034442709,1,weekly,123844.3816
1,9,1,1,188.2250225,7.74E-05,1_9,New York,Online Display - Acquisition - Display,Bundle,overall,4995,0.00246373,1,weekly,112910.1067
10,1,1,1,2.172256043,0.002016531,10_1,Providence,TV Cable,Bundle,overall,4995,1,1,weekly,2653.838372
10,10,1,1,6.765157801,0.000552397,10_10,Providence,Online Display - Acquisition - Mobile,Bundle,overall,4995,0.004736479,1,weekly,1105.45796
10,11,1,1,4.507658747,0.000199332,10_11,Providence,Hispanic - DM,Bundle,overall,4995,1,1,weekly,4685.022727
10,12,1,1,29.09380341,0.000115647,10_12,Providence,TV Spot,Bundle,overall,4995,1,1,weekly,13741.42799
10,13,1,1,2.738540622,0.000611827,10_13,Providence,Radio,Bundle,overall,4995,55.81467796,1,weekly,4011.338889
10,17,1,1,0.326272277,0.020246573,10_17,Providence,Hispanic - Shared Mail,Bundle,overall,4995,1,1,weekly,839.157
10,2,1,1,23.18648323,0.00020217,10_2,Providence,Online Display - Awareness - Display,Bundle,overall,4995,0.005339787,1,weekly,2778.32989
10,3,1,1,0.315931514,0.01495379,10_3,Providence,Online Display - Awareness - Mobile,Bundle,overall,4995,0.004633941,1,weekly,248.0488963
10,4,1,1,6.385957819,0.000978029,10_4,Providence,Online Display - Awareness - OLV,Bundle,overall,4995,0.057825889,1,weekly,2746.314924
10,5,1,1,11.10212628,0.00015485,10_5,Providence,DRTV,Bundle,overall,4995,84.95579234,1,weekly,5823.684167
10,6,1,1,29.2713953,0.000245701,10_6,Providence,Direct Mail,Bundle,overall,4995,0.378806433,1,weekly,24320.2569
10,7,1,1,3.073870079,0.000230072,10_7,Providence,Newspaper,Bundle,overall,4995,0.084288147,1,weekly,5394.778571
10,8,1,1,21.06405807,0.001935941,10_8,Providence,Shared Mail,Bundle,overall,4995,0.025255622,1,weekly,9737.493659
10,9,1,1,17.80906056,0.001414486,10_9,Providence,Online Display - Acquisition - Display,Bundle,overall,4995,0.002399238,1,weekly,6361.132773
11,10,1,1,7.247425445,0.000527845,11_10,Norfolk,Online Display - Acquisition - Mobile,Bundle,overall,4995,0.00320554,1,weekly,942.1516706
11,11,1,1,3.040488987,0.000301163,11_11,Norfolk,Hispanic - DM,Bundle,overall,4995,1,1,weekly,3048.196
11,12,1,1,25.3138286,0.000117832,11_12,Norfolk,TV Spot,Bundle,overall,4995,1,1,weekly,10252.85397
11,13,1,1,2.190194866,0.00091235,11_13,Norfolk,Radio,Bundle,overall,4995,49.2139055,1,weekly,3566.695778
11,2,1,1,10.37318695,0.000276911,11_2,Norfolk,Online Display - Awareness - Display,Bundle,overall,4995,0.004241662,1,weekly,2367.894794
11,3,1,1,0.309439319,0.01552111,11_3,Norfolk,Online Display - Awareness - Mobile,Bundle,overall,4995,0.003438484,1,weekly,211.4053094
11,4,1,1,5.512726644,0.001914433,11_4,Norfolk,Online Display - Awareness - OLV,Bundle,overall,4995,0.059573908,1,weekly,2387.421496
11,5,1,1,6.345527052,0.000162748,11_5,Norfolk,DRTV,Bundle,overall,4995,109.6511422,1,weekly,8155.943333
